,date,label_id,team,category,channel,platform,salesmethod,type,target_department,margin,orders,bids,sessions,registrations,margin_admin,margin_fixed_fee,margin_commission,ub
84,2023-03-26,1,Products,Products,,,,Target,Commercial,30300.684942756972,4887.20724883177,,,,,,,
85,2023-03-27,1,Products,Products,,,,Target,Commercial,21597.411391636324,3483.453450263923,,,,,,,
86,2023-03-28,1,Products,Products,,,,Target,Commercial,30517.107982203863,4922.114190678042,,,,,,,
87,2023-03-29,1,Products,Products,,,,Target,Commercial,20164.189799373875,3252.288677318367,,,,,,,
88,2023-03-30,1,Products,Products,,,,Target,Commercial,35622.94230161923,5745.635855099876,,,,,,,
89,2023-03-31,1,Products,Products,,,,Target,Commercial,16357.129996689295,2638.2467736595636,,,,,,,
90,2023-04-01,1,Products,Products,,,,Target,Commercial,17569.995835211997,2833.870296001935,,,,,,,
91,2023-04-02,1,Products,Products,,,,Target,Commercial,28303.45319808627,4565.073096465528,,,,,,,
92,2023-04-03,1,Products,Products,,,,Target,Commercial,20173.845036104183,3253.845973565191,,,,,,,
93,2023-04-04,1,Products,Products,,,,Target,Commercial,28505.610983613074,4597.6791909053345,,,,,,,
94,2023-04-05,1,Products,Products,,,,Target,Commercial,18835.09245226915,3037.918137462766,,,,,,,
95,2023-04-06,1,Products,Products,,,,Target,Commercial,33274.90062078672,5366.9194549656,,,,,,,
96,2023-04-07,1,Products,Products,,,,Target,Commercial,15278.970234201737,2464.3500377744735,,,,,,,
97,2023-04-08,1,Products,Products,,,,Target,Commercial,17569.995835211997,2833.870296001935,,,,,,,
98,2023-04-09,1,Products,Products,,,,Target,Commercial,28303.45319808627,4565.073096465528,,,,,,,
99,2023-04-10,1,Products,Products,,,,Target,Commercial,20173.845036104183,3253.845973565191,,,,,,,
100,2023-04-11,1,Products,Products,,,,Target,Commercial,28505.610983613074,4597.6791909053345,,,,,,,
101,2023-04-12,1,Products,Products,,,,Target,Commercial,18835.09245226915,3037.918137462766,,,,,,,
102,2023-04-13,1,Products,Products,,,,Target,Commercial,33274.90062078672,5366.9194549656,,,,,,,
103,2023-04-14,1,Products,Products,,,,Target,Commercial,15278.970234201737,2464.3500377744735,,,,,,,
104,2023-04-15,1,Products,Products,,,,Target,Commercial,17569.995835211997,2833.870296001935,,,,,,,
105,2023-04-16,1,Products,Products,,,,Target,Commercial,28303.45319808627,4565.073096465528,,,,,,,
106,2023-04-17,1,Products,Products,,,,Target,Commercial,20173.845036104183,3253.845973565191,,,,,,,
107,2023-04-18,1,Products,Products,,,,Target,Commercial,28505.610983613074,4597.6791909053345,,,,,,,
108,2023-04-19,1,Products,Products,,,,Target,Commercial,18835.09245226915,3037.918137462766,,,,,,,
109,2023-04-20,1,Products,Products,,,,Target,Commercial,33274.90062078672,5366.9194549656,,,,,,,
110,2023-04-21,1,Products,Products,,,,Target,Commercial,15278.970234201737,2464.3500377744735,,,,,,,
111,2023-04-22,1,Products,Products,,,,Target,Commercial,17569.995835211997,2833.870296001935,,,,,,,
112,2023-04-23,1,Products,Products,,,,Target,Commercial,28303.45319808627,4565.073096465528,,,,,,,
113,2023-04-24,1,Products,Products,,,,Target,Commercial,20173.845036104183,3253.845973565191,,,,,,,
114,2023-04-25,1,Products,Products,,,,Target,Commercial,28505.610983613074,4597.6791909053345,,,,,,,
115,2023-04-26,1,Products,Products,,,,Target,Commercial,18835.09245226915,3037.918137462766,,,,,,,
116,2023-04-27,1,Products,Products,,,,Target,Commercial,33274.90062078672,5366.9194549656,,,,,,,
117,2023-04-28,1,Products,Products,,,,Target,Commercial,15278.970234201737,2464.3500377744735,,,,,,,
118,2023-04-29,1,Products,Products,,,,Target,Commercial,17569.995835211997,2833.870296001935,,,,,,,
119,2023-04-30,1,Products,Products,,,,Target,Commercial,28303.45319808627,4565.073096465528,,,,,,,
120,2023-05-01,1,Products,Products,,,,Target,Commercial,18852.164187501498,3040.671643145403,,,,,,,
121,2023-05-02,1,Products,Products,,,,Target,Commercial,26638.078044436916,4296.464200715632,,,,,,,
122,2023-05-03,1,Products,Products,,,,Target,Commercial,17601.119407900384,2838.890227080707,,,,,,,
123,2023-05-04,1,Products,Products,,,,Target,Commercial,31094.909706266237,5015.308017139715,,,,,,,
124,2023-05-05,1,Products,Products,,,,Target,Commercial,14277.975019418676,2302.8991966804315,,,,,,,
125,2023-05-06,1,Products,Products,,,,Target,Commercial,16418.905055845455,2648.210492878299,,,,,,,
126,2023-05-07,1,Products,Products,,,,Target,Commercial,26449.16453996058,4265.9942806388035,,,,,,,
127,2023-05-08,1,Products,Products,,,,Target,Commercial,18852.164187501498,3040.671643145403,,,,,,,
128,2023-05-09,1,Products,Products,,,,Target,Commercial,26638.078044436916,4296.464200715632,,,,,,,
129,2023-05-10,1,Products,Products,,,,Target,Commercial,17601.119407900384,2838.890227080707,,,,,,,
130,2023-05-11,1,Products,Products,,,,Target,Commercial,31094.909706266237,5015.308017139715,,,,,,,
131,2023-05-12,1,Products,Products,,,,Target,Commercial,14277.975019418676,2302.8991966804315,,,,,,,
132,2023-05-13,1,Products,Products,,,,Target,Commercial,16418.905055845455,2648.210492878299,,,,,,,
133,2023-05-14,1,Products,Products,,,,Target,Commercial,26449.16453996058,4265.9942806388035,,,,,,,
134,2023-05-15,1,Products,Products,,,,Target,Commercial,18852.164187501498,3040.671643145403,,,,,,,
135,2023-05-16,1,Products,Products,,,,Target,Commercial,26638.078044436916,4296.464200715632,,,,,,,
136,2023-05-17,1,Products,Products,,,,Target,Commercial,17601.119407900384,2838.890227080707,,,,,,,
137,2023-05-18,1,Products,Products,,,,Target,Commercial,31094.909706266237,5015.308017139715,,,,,,,
138,2023-05-19,1,Products,Products,,,,Target,Commercial,14277.975019418676,2302.8991966804315,,,,,,,
139,2023-05-20,1,Products,Products,,,,Target,Commercial,16418.905055845455,2648.210492878299,,,,,,,
140,2023-05-21,1,Products,Products,,,,Target,Commercial,26449.16453996058,4265.9942806388035,,,,,,,
141,2023-05-22,1,Products,Products,,,,Target,Commercial,18852.164187501498,3040.671643145403,,,,,,,
142,2023-05-23,1,Products,Products,,,,Target,Commercial,26638.078044436916,4296.464200715632,,,,,,,
143,2023-05-24,1,Products,Products,,,,Target,Commercial,17601.119407900384,2838.890227080707,,,,,,,
144,2023-05-25,1,Products,Products,,,,Target,Commercial,31094.909706266237,5015.308017139715,,,,,,,
145,2023-05-26,1,Products,Products,,,,Target,Commercial,14277.975019418676,2302.8991966804315,,,,,,,
146,2023-05-27,1,Products,Products,,,,Target,Commercial,16418.905055845455,2648.210492878299,,,,,,,
147,2023-05-28,1,Products,Products,,,,Target,Commercial,26449.16453996058,4265.9942806388035,,,,,,,
148,2023-05-29,1,Products,Products,,,,Target,Commercial,18852.164187501498,3040.671643145403,,,,,,,
149,2023-05-30,1,Products,Products,,,,Target,Commercial,26638.078044436916,4296.464200715632,,,,,,,
